hand	0	0	255	255
hand	0	266	255	521
flower	0	532	255	787
eyeglasses	0	798	255	1053
airplane	0	1064	255	1319
cup	0	1330	255	1585
hand	0	1596	255	1851
butterfly	0	1862	255	2117
fish	266	0	521	255
fish	266	266	521	521
donut	266	532	521	787
hand	266	798	521	1053
hand	266	1064	521	1319
hand	266	1330	521	1585
butterfly	266	1596	521	1851
fish	266	1862	521	2117
flower	532	0	787	255
donut	532	266	787	521
fish	532	532	787	787
hand	532	798	787	1053
eye	532	1064	787	1319
hand	532	1330	787	1585
dumbbell	532	1596	787	1851
dumbbell	532	1862	787	2117
cup	798	0	1053	255
airplane	798	266	1053	521
airplane	798	532	1053	787
eyeglasses	798	798	1053	1053
dumbbell	798	1064	1053	1319
cup	798	1330	1053	1585
cup	798	1596	1053	1851
hand	798	1862	1053	2117
hand	1064	0	1319	255
donut	1064	266	1319	521
hand	1064	532	1319	787
hand	1064	798	1319	1053
hand	1064	1064	1319	1319
hand	1064	1330	1319	1585
flower	1064	1596	1319	1851
flower	1064	1862	1319	2117
cup	1330	0	1585	255
eye	1330	266	1585	521
dumbbell	1330	532	1585	787
flower	1330	798	1585	1053
cup	1330	1064	1585	1319
flower	1330	1330	1585	1585
eyeglasses	1330	1596	1585	1851
flower	1330	1862	1585	2117
eye	1596	0	1851	255
flower	1596	266	1851	521
hand	1596	532	1851	787
fish	1596	798	1851	1053
fish	1596	1064	1851	1319
flower	1596	1330	1851	1585
cup	1596	1596	1851	1851
airplane	1596	1862	1851	2117
hand	1862	0	2117	255
eye	1862	266	2117	521
donut	1862	532	2117	787
donut	1862	798	2117	1053
eyeglasses	1862	1064	2117	1319
dumbbell	1862	1330	2117	1585
eye	1862	1596	2117	1851
airplane	1862	1862	2117	2117
