filename,width,height,class,xmin,ymin,xmax,ymax
Page_0.jpg,788,788,fish,0,0,255,255
Page_0.jpg,788,788,fish,0,266,255,521
Page_0.jpg,788,788,eyeglasses,0,532,255,787
Page_0.jpg,788,788,cup,266,0,521,255
Page_0.jpg,788,788,eye,266,266,521,521
Page_0.jpg,788,788,butterfly,266,532,521,787
Page_0.jpg,788,788,eyeglasses,532,0,787,255
Page_0.jpg,788,788,hand,532,266,787,521
Page_0.jpg,788,788,eyeglasses,532,532,787,787
Page_1.jpg,788,788,flower,0,0,255,255
Page_1.jpg,788,788,fish,0,266,255,521
Page_1.jpg,788,788,airplane,0,532,255,787
Page_1.jpg,788,788,hand,266,0,521,255
Page_1.jpg,788,788,flower,266,266,521,521
Page_1.jpg,788,788,fish,266,532,521,787
Page_1.jpg,788,788,cup,532,0,787,255
Page_1.jpg,788,788,donut,532,266,787,521
Page_1.jpg,788,788,airplane,532,532,787,787
Page_10.jpg,788,788,eyeglasses,0,0,255,255
Page_10.jpg,788,788,hand,0,266,255,521
Page_10.jpg,788,788,eye,0,532,255,787
Page_10.jpg,788,788,fish,266,0,521,255
Page_10.jpg,788,788,hand,266,266,521,521
Page_10.jpg,788,788,airplane,266,532,521,787
Page_10.jpg,788,788,donut,532,0,787,255
Page_10.jpg,788,788,donut,532,266,787,521
Page_10.jpg,788,788,eyeglasses,532,532,787,787
Page_100.jpg,788,788,eyeglasses,0,0,255,255
Page_100.jpg,788,788,cup,0,266,255,521
Page_100.jpg,788,788,hand,0,532,255,787
Page_100.jpg,788,788,eyeglasses,266,0,521,255
Page_100.jpg,788,788,eyeglasses,266,266,521,521
Page_100.jpg,788,788,dumbbell,266,532,521,787
Page_100.jpg,788,788,eye,532,0,787,255
Page_100.jpg,788,788,flower,532,266,787,521
Page_100.jpg,788,788,eye,532,532,787,787
Page_101.jpg,788,788,donut,0,0,255,255
Page_101.jpg,788,788,dumbbell,0,266,255,521
Page_101.jpg,788,788,eyeglasses,0,532,255,787
Page_101.jpg,788,788,dumbbell,266,0,521,255
Page_101.jpg,788,788,dumbbell,266,266,521,521
Page_101.jpg,788,788,butterfly,266,532,521,787
Page_101.jpg,788,788,donut,532,0,787,255
Page_101.jpg,788,788,hand,532,266,787,521
Page_101.jpg,788,788,dumbbell,532,532,787,787
Page_102.jpg,788,788,airplane,0,0,255,255
Page_102.jpg,788,788,eye,0,266,255,521
Page_102.jpg,788,788,dumbbell,0,532,255,787
Page_102.jpg,788,788,eyeglasses,266,0,521,255
Page_102.jpg,788,788,butterfly,266,266,521,521
Page_102.jpg,788,788,hand,266,532,521,787
Page_102.jpg,788,788,eyeglasses,532,0,787,255
Page_102.jpg,788,788,airplane,532,266,787,521
Page_102.jpg,788,788,eyeglasses,532,532,787,787
Page_103.jpg,788,788,cup,0,0,255,255
Page_103.jpg,788,788,hand,0,266,255,521
Page_103.jpg,788,788,cup,0,532,255,787
Page_103.jpg,788,788,dumbbell,266,0,521,255
Page_103.jpg,788,788,hand,266,266,521,521
Page_103.jpg,788,788,dumbbell,266,532,521,787
Page_103.jpg,788,788,eyeglasses,532,0,787,255
Page_103.jpg,788,788,cup,532,266,787,521
Page_103.jpg,788,788,dumbbell,532,532,787,787
Page_104.jpg,788,788,hand,0,0,255,255
Page_104.jpg,788,788,hand,0,266,255,521
Page_104.jpg,788,788,eye,0,532,255,787
Page_104.jpg,788,788,cup,266,0,521,255
Page_104.jpg,788,788,cup,266,266,521,521
Page_104.jpg,788,788,flower,266,532,521,787
Page_104.jpg,788,788,cup,532,0,787,255
Page_104.jpg,788,788,butterfly,532,266,787,521
Page_104.jpg,788,788,donut,532,532,787,787
Page_105.jpg,788,788,eye,0,0,255,255
Page_105.jpg,788,788,hand,0,266,255,521
Page_105.jpg,788,788,eyeglasses,0,532,255,787
Page_105.jpg,788,788,fish,266,0,521,255
Page_105.jpg,788,788,eye,266,266,521,521
Page_105.jpg,788,788,flower,266,532,521,787
Page_105.jpg,788,788,fish,532,0,787,255
Page_105.jpg,788,788,airplane,532,266,787,521
Page_105.jpg,788,788,fish,532,532,787,787
Page_106.jpg,788,788,eye,0,0,255,255
Page_106.jpg,788,788,dumbbell,0,266,255,521
Page_106.jpg,788,788,eyeglasses,0,532,255,787
Page_106.jpg,788,788,cup,266,0,521,255
Page_106.jpg,788,788,donut,266,266,521,521
Page_106.jpg,788,788,flower,266,532,521,787
Page_106.jpg,788,788,flower,532,0,787,255
Page_106.jpg,788,788,eye,532,266,787,521
Page_106.jpg,788,788,dumbbell,532,532,787,787
Page_107.jpg,788,788,donut,0,0,255,255
Page_107.jpg,788,788,flower,0,266,255,521
Page_107.jpg,788,788,eye,0,532,255,787
Page_107.jpg,788,788,eye,266,0,521,255
Page_107.jpg,788,788,airplane,266,266,521,521
Page_107.jpg,788,788,flower,266,532,521,787
Page_107.jpg,788,788,hand,532,0,787,255
Page_107.jpg,788,788,flower,532,266,787,521
Page_107.jpg,788,788,butterfly,532,532,787,787
Page_108.jpg,788,788,butterfly,0,0,255,255
Page_108.jpg,788,788,hand,0,266,255,521
Page_108.jpg,788,788,fish,0,532,255,787
Page_108.jpg,788,788,airplane,266,0,521,255
Page_108.jpg,788,788,dumbbell,266,266,521,521
